"discipline"	"region"	"total_cites"	"total_top_papers"	"avg_cites_per_paper"	"cite_rank"	"top_paper_rank"	"avg_cite_rank"
"biology_biochemistry"	"URUGUAY"	"35156"	"16"	"46.385"	"52"	"56"	"15"
"biology_biochemistry"	"MACAU"	"33531"	"35"	"30.195"	"53"	"45"	"36"
"biology_biochemistry"	"SERBIA"	"32332"	"14"	"16.84"	"54"	"57"	"63"
"biology_biochemistry"	"CROATIA"	"28816"	"21"	"20.09"	"55"	"53"	"54"
"biology_biochemistry"	"NORTHERN IRELAND"	"27761"	"27"	"24.425"	"56"	"50"	"44"
"biology_biochemistry"	"LUXEMBOURG"	"27169"	"35"	"44.935"	"57"	"45"	"16"
"biology_biochemistry"	"TUNISIA"	"24568"	"0"	"22"	"58"	"68"	"50"
"biology_biochemistry"	"LITHUANIA"	"16354"	"8"	"30.68"	"59"	"58"	"35"
"biology_biochemistry"	"VIETNAM"	"10590"	"8"	"43.22"	"60"	"58"	"20"
"biology_biochemistry"	"MALTA"	"9121"	"2"	"88.55"	"61"	"63"	"4"
"biology_biochemistry"	"ICELAND"	"8845"	"6"	"33.25"	"62"	"60"	"29"
"biology_biochemistry"	"UKRAINE"	"8781"	"2"	"13.11"	"63"	"63"	"67"
"biology_biochemistry"	"PANAMA"	"8661"	"2"	"47.07"	"64"	"63"	"12"
"biology_biochemistry"	"LATVIA"	"8175"	"1"	"111.99"	"65"	"67"	"3"
"biology_biochemistry"	"BULGARIA"	"7811"	"2"	"11.42"	"66"	"63"	"68"
"biology_biochemistry"	"UNITED ARAB EMIRATES"	"7541"	"3"	"18.44"	"67"	"62"	"60"
"biology_biochemistry"	"ROMANIA"	"7255"	"4"	"17.32"	"68"	"61"	"61"
"biology_biochemistry"	""	"0"	"0"	"0"	"69"	"68"	"69"
"chemistry"	"CHINA MAINLAND"	"30165345"	"26271"	"21.433239"	"1"	"1"	"36"
"chemistry"	"USA"	"18134821"	"13471"	"30.881107"	"2"	"2"	"7"
"chemistry"	"FRANCE"	"5517124"	"2239"	"21.629318"	"3"	"4"	"32"
"chemistry"	"GERMANY (FED REP GER)"	"4605987"	"2583"	"22.966136"	"4"	"3"	"27"
"chemistry"	"INDIA"	"4196817"	"1447"	"18.015468"	"5"	"6"	"49"
"chemistry"	"JAPAN"	"2745729"	"1381"	"17.342836"	"6"	"9"	"52"
"chemistry"	"ENGLAND"	"2740418"	"1832"	"26.757959"	"7"	"5"	"13"
"chemistry"	"SPAIN"	"2682587"	"1308"	"24.11375"	"8"	"10"	"20"
"chemistry"	"SOUTH KOREA"	"2490658"	"1394"	"21.117288"	"9"	"7"	"38"
"chemistry"	"ITALY"	"2330138"	"1013"	"20.994"	"10"	"12"	"39"
"chemistry"	"RUSSIA"	"1695494"	"435"	"11.124528"	"11"	"22"	"80"
"chemistry"	"AUSTRALIA"	"1652341"	"1393"	"30.265152"	"12"	"8"	"8"
"chemistry"	"IRAN"	"1602054"	"518"	"21.560172"	"13"	"19"	"33"
"chemistry"	"N/A"	"1354515"	"712"	"63.15617"	"14"	"16"	"1"
"chemistry"	"SWITZERLAND"	"1341184"	"949"	"33.593529"	"15"	"13"	"5"
"chemistry"	"CANADA"	"1296923"	"878"	"25.874242"	"16"	"15"	"15"
"chemistry"	"EGYPT"	"1249647"	"503"	"19.032667"	"17"	"20"	"44"
"chemistry"	"SAUDI ARABIA"	"1167689"	"938"	"21.507826"	"18"	"14"	"34"
"chemistry"	"POLAND"	"1035020"	"413"	"14.715366"	"19"	"23"	"65"
"chemistry"	"SINGAPORE"	"954235"	"1029"	"44.97875"	"20"	"11"	"2"
"chemistry"	"TAIWAN"	"890210"	"484"	"18.52"	"21"	"21"	"47"
"chemistry"	"BRAZIL"	"797983"	"230"	"15.121875"	"22"	"27"	"61"
"chemistry"	"NETHERLANDS"	"785997"	"525"	"26.910714"	"23"	"18"	"12"
"chemistry"	"BELGIUM"	"563234"	"298"	"23.024667"	"24"	"25"	"26"
"chemistry"	"HONG KONG"	"562710"	"635"	"35.682857"	"25"	"17"	"3"
"chemistry"	"SWEDEN"	"534604"	"321"	"23.776364"	"26"	"24"	"21"
"chemistry"	"CZECH REPUBLIC"	"532553"	"203"	"17.513529"	"27"	"29"	"51"
"chemistry"	"MALAYSIA"	"494971"	"257"	"23.097333"	"28"	"26"	"24"
"chemistry"	"TURKIYE"	"447997"	"192"	"17.057188"	"29"	"32"	"53"
"chemistry"	"PORTUGAL"	"446590"	"199"	"22.014545"	"30"	"31"	"30"
"chemistry"	"PAKISTAN"	"438181"	"207"	"18.077619"	"31"	"28"	"48"
"chemistry"	"DENMARK"	"347510"	"201"	"29.07"	"32"	"30"	"10"
"chemistry"	"SOUTH AFRICA"	"285809"	"153"	"19.750714"	"33"	"34"	"42"
"chemistry"	"ISRAEL"	"277780"	"170"	"22.501429"	"34"	"33"	"28"
"chemistry"	"SCOTLAND"	"266375"	"147"	"23.495714"	"35"	"35"	"22"
"chemistry"	"AUSTRIA"	"265822"	"134"	"19.25375"	"36"	"36"	"43"
"chemistry"	"FINLAND"	"263645"	"123"	"22.144"	"37"	"37"	"29"
"chemistry"	"GREECE"	"254592"	"123"	"21.830833"	"38"	"37"	"31"
"chemistry"	"HUNGARY"	"251764"	"70"	"14.967273"	"39"	"46"	"64"
"chemistry"	"MEXICO"	"248237"	"76"	"13.815833"	"40"	"43"	"73"
"chemistry"	"THAILAND"	"229460"	"54"	"15.78"	"41"	"53"	"58"
"chemistry"	"ROMANIA"	"187212"	"76"	"11.883636"	"42"	"43"	"79"
"chemistry"	"ARGENTINA"	"175211"	"48"	"14.228333"	"43"	"54"	"70"
"chemistry"	"VIETNAM"	"160788"	"75"	"18.565714"	"44"	"45"	"46"
"chemistry"	"QATAR"	"155701"	"96"	"35.116"	"45"	"41"	"4"
"chemistry"	"IRELAND"	"147906"	"81"	"24.603333"	"46"	"42"	"18"
"chemistry"	"TUNISIA"	"138281"	"43"	"15.11125"	"47"	"55"	"62"
"chemistry"	"NORWAY"	"135965"	"69"	"19.78"	"48"	"47"	"41"
"chemistry"	"UKRAINE"	"128706"	"59"	"12.0625"	"49"	"49"	"78"
